,claimHeadline,articleHeadline,articleHeadlineStance,articleId,claimId
1139,Some ISIS fighters have contracted Ebola,"Reports Isis fighters have contracted Ebola are incorrect, says Iraqi health ministry",against,d1e7db50-92b0-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1140,Some ISIS fighters have contracted Ebola,"ISIS Militants In Mosul Have Contracted Ebola, Iraqi Media Sources Claim",observing,c9930fa0-9298-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1141,Some ISIS fighters have contracted Ebola,Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,observing,860bf210-9428-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1142,Some ISIS fighters have contracted Ebola,Iraqi Official Dismisses Unfounded Reports That ISIS Fighters Have Ebola,against,6aad0400-9383-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1143,Some ISIS fighters have contracted Ebola,Iraqi and Kurdish media reports cases of Ebola among Islamic State fighters in Mosul,observing,ac87ae30-92b0-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1144,Some ISIS fighters have contracted Ebola,"ISIS Militants Have Contracted Ebola: Iraqi, Kurdish Media Reports",observing,920b1950-9299-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1145,Some ISIS fighters have contracted Ebola,ISIS Militants Allegedly Contracted Ebola,observing,fe488ef0-92ed-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1146,Some ISIS fighters have contracted Ebola,WHO says reports of suspected Ebola cases in Iraq are untrue,against,74ca87c0-95ca-11e4-87a8-1d5d45e62193,07ceb8b0-9298-11e4-b271-b1de57982894
1147,Some ISIS fighters have contracted Ebola,Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,observing,9f541b60-954c-11e4-87a8-1d5d45e62193,07ceb8b0-9298-11e4-b271-b1de57982894
1148,Some ISIS fighters have contracted Ebola,ISIS fighters have contracted Ebola,observing,8ea00960-937f-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1149,Some ISIS fighters have contracted Ebola,WHO: Reports of Suspected Ebola Cases in Iraq Untrue,against,795c1dd0-95ca-11e4-87a8-1d5d45e62193,07ceb8b0-9298-11e4-b271-b1de57982894
1150,Some ISIS fighters have contracted Ebola,"No, there are not any Ebola cases in Iraq",against,3a6e0a20-95ca-11e4-87a8-1d5d45e62193,07ceb8b0-9298-11e4-b271-b1de57982894
1151,Some ISIS fighters have contracted Ebola,ISIS Getting Ebola,for,97c41860-9299-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1152,Some ISIS fighters have contracted Ebola,Iraqi media: ISIS militants have contracted Ebola,observing,87ab4e80-9299-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1153,Some ISIS fighters have contracted Ebola,Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,observing,94d922e0-9298-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1154,ISIS fighters are being trained to fly three captured fighter jets,Islamic State Flying Three Jets in Syria,for,11cd2d90-5627-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1155,ISIS fighters are being trained to fly three captured fighter jets,"Islamic State Training Pilots in Military Jets, Monitors Say",observing,d70299f0-5628-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1156,ISIS fighters are being trained to fly three captured fighter jets,Islamic State training pilots to fly fighter jets,observing,dc727780-5627-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1157,ISIS fighters are being trained to fly three captured fighter jets,Opposition group: ISIS militants training to fly warplanes in Syria,observing,36aaeed0-5628-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1158,ISIS fighters are being trained to fly three captured fighter jets,Does ISIS have an airforce? Terrorist fighter pilots are being trained on captured MiGs by Saddam Hussein's ex-air force officers,for,88f03910-5629-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1159,ISIS fighters are being trained to fly three captured fighter jets,"Islamic State Militants Have Been Flying 3 Captured Warplanes Over Syrian Airport, Witnesses Say",observing,9325bf90-5629-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1160,ISIS fighters are being trained to fly three captured fighter jets,Islamic State May Have Fighter Jets Now After Seizing Russian-Made MiGs,observing,f6e0d300-5627-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1161,ISIS fighters are being trained to fly three captured fighter jets,Isis Syria News: Iraqi Pilots Training Isis Fighters to Fly Captured Planes,observing,fc5b4270-5627-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1162,ISIS fighters are being trained to fly three captured fighter jets,Saddam Hussein's pilots training Islamic State group,for,82fe9dd0-5629-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1163,ISIS fighters are being trained to fly three captured fighter jets,Islamic State flying three jets in Syria: monitor,observing,1582bb80-5627-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1164,ISIS fighters are being trained to fly three captured fighter jets,"Islamic State training fighter pilots in captured jets, monitoring group says",observing,e0deab40-5627-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1165,ISIS fighters are being trained to fly three captured fighter jets,"Islamic State training pilots to fly MiG fighter planes, says monitoring group",observing,d891bae0-5627-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1166,ISIS fighters are being trained to fly three captured fighter jets,Islamic State fighters training to fly captured jets watchdog,observing,ec10e140-5627-11e4-aaf5-a1ddcfbcd5a9,0a643490-5627-11e4-aaf5-a1ddcfbcd5a9
1167,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,DHS Rebuffs Congressman's Claim ISIS Infiltrating Southern Border,against,b329cf40-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1168,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,4 ISIS Terrorists Caught at Southern Border in 36 Hrs,observing,34182b30-7683-11e4-b9e8-ab92b2da133c,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1169,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Categorically False: DHS Debunks Right-Wing Fiction That ISIS Attempted To Cross The U.S.- Mexico Border,against,ede0f000-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1170,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,GOP Rep: At Least Ten ISIS Fighters Have Been Caught Coming Across The Mexican Border,observing,088e7760-4fca-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1171,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Officials shoot down congressman's claims ISIS terrorists are running across US-Mexico border,against,fda690d0-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1172,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.Mexico Border,observing,7ec83c50-7684-11e4-b9e8-ab92b2da133c,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1173,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.Mexico Border,observing,699d1300-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1174,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. are not Going Away,observing,5fb42680-7684-11e4-b9e8-ab92b2da133c,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1175,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Homeland Security says terrorists have not crossed U.S-Mexico border,against,90bf0310-7686-11e4-b9e8-ab92b2da133c,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1176,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Obama administration DENIES congressman's claim that at least ten ISIS fighters have been caught coming across the Mexican border in Texas,against,223113e0-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1177,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Congressman: At least 10 ISIS fighters caught trying to cross into US,observing,17df79e0-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1178,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,GOP Rep. Duncan Hunter Claims At Least 10 ISIS Fighters Apprehended On Texas Border,observing,d640ef60-4fcc-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1179,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,"Jeh Johnson: Politicians should not Feed The Flames Of Fear Over ISIS, Ebola",against,994b2d10-768b-11e4-b9e8-ab92b2da133c,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1180,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,against,87c6efe0-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1181,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,DHS: GOP Rep.s Claim ISIS Members Caught at U.S. Border Categorically False,against,1b730740-4fd1-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1182,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,observing,0deac590-4fcc-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1183,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Is There an ISIS Threat on the Texas-Mexico Border or Not?,observing,711d5670-768a-11e4-b9e8-ab92b2da133c,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1184,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",against,3ef4fe80-4fd1-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1185,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Rep. Duncan Hunter: At Least 10 ISIS Fighters Caught at Mexican Border,observing,4df920e0-4fcd-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1186,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,for,a25da570-768d-11e4-b9e8-ab92b2da133c,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1187,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",observing,70f199a0-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1188,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Homeland Security: No ISIL fighters on U.S. border,against,dac1e3a0-4fcc-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1189,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,against,2f22d7b0-50db-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1190,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Lawmaker Says At Least 10 Islamic State Fighters Have Been Captured at the Southern U.S. Border,observing,7f71cfe0-4fce-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1191,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,US Lawmaker: Ten ISIS Fighters Have Been Apprehended Coming Across Southern Border Video,observing,c62853f0-4fc9-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1192,ISIS fighters were caught trying to enter the U.S. via the U.S.-Mexico border,Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,against,1864eed0-4fcf-11e4-b6a0-9705a8f94440,1357a7d0-4fc9-11e4-b6a0-9705a8f94440
1193,ISIS used chlorine gas in an attack near Fallujah,IS Militants Kill 300 Iraqi Soldiers with Chlorine Gas,for,a04234d0-425e-11e4-9e78-ff09d5b0049d,496fc150-425d-11e4-9e78-ff09d5b0049d
1194,ISIS used chlorine gas in an attack near Fallujah,ISIS chlorine attack on security forces confirmed Iraq officials,observing,8f5aab30-5b76-11e4-a887-2324afc3f9a8,496fc150-425d-11e4-9e78-ff09d5b0049d
1195,ISIS used chlorine gas in an attack near Fallujah,Islamic State accused of using chlorine gas on Iraqi soldiers,observing,64302cd0-4cc3-11e4-949b-f14041b20838,496fc150-425d-11e4-9e78-ff09d5b0049d
1196,ISIS used chlorine gas in an attack near Fallujah,ISIS KILLS 300 IRAQI SOLDIERS WITH CHLORINE GAS: SHIA MP,for,98c633c0-4284-11e4-9e78-ff09d5b0049d,496fc150-425d-11e4-9e78-ff09d5b0049d
1197,ISIS used chlorine gas in an attack near Fallujah,Islamic State uses chlorine gas against Iraqi forces,observing,0de7f360-42bb-11e4-9e78-ff09d5b0049d,496fc150-425d-11e4-9e78-ff09d5b0049d
1198,ISIS used chlorine gas in an attack near Fallujah,Iraq: US to Probe ISIS Chlorine Attack on Iraqi Security Personnel,observing,19a954e0-5c34-11e4-a887-2324afc3f9a8,496fc150-425d-11e4-9e78-ff09d5b0049d
1199,ISIS used chlorine gas in an attack near Fallujah,URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,for,9d4659f0-425e-11e4-9e78-ff09d5b0049d,496fc150-425d-11e4-9e78-ff09d5b0049d
1200,ISIS used chlorine gas in an attack near Fallujah,Another ISIS Massacre: ISIS Kills 300 Iraqi Soldiers With Chlorine Gas,for,cf8337e0-4352-11e4-9e78-ff09d5b0049d,496fc150-425d-11e4-9e78-ff09d5b0049d
1201,ISIS used chlorine gas in an attack near Fallujah,Nujaifi Condemns Daash crime in Saqlawiyah and Alsiger areas of Anbar.,for,06890c80-42bb-11e4-9e78-ff09d5b0049d,496fc150-425d-11e4-9e78-ff09d5b0049d
1202,ISIS used chlorine gas in an attack near Fallujah,BREAKING: ISIS USES CHEMICAL WEAPONS Murders 300 Iraqi Soldiers in Chlorine Gas Attack,for,ff0119d0-42ba-11e4-9e78-ff09d5b0049d,496fc150-425d-11e4-9e78-ff09d5b0049d
1203,ISIS used chlorine gas in an attack near Fallujah,Islamic State militants allegedly used chlorine gas against Iraqi security forces,observing,b48d35e0-5af8-11e4-a887-2324afc3f9a8,496fc150-425d-11e4-9e78-ff09d5b0049d
1219,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,Islamic State Leader al-Baghdadi Not Dead,against,fee6ee00-3678-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1220,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,ISIS leader dead?,observing,e92fa5d0-3884-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1221,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,observing,c42c71e0-3678-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1222,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,Iraqi airstrike kills key ISIL leader,for,5b1da8d0-3796-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1223,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,We took a look at the photo said to show the body of Islamic State leader Abu Bakr Al-Baghdadi right and found it was really an ethnic Albanian militant killed in 2013,against,7a042030-36ec-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1224,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,Rumors of ISIS leader's death debunked,against,85d33980-384c-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1225,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,Rumors of ISIS leader's death debunked,against,1ad2a560-3763-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1226,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,Urgent: The Leader of ISIL Abu Bakr al-Baghdadi Killed Photo,for,b8023990-3673-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1227,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,ISIS leader killed in US airstrikes,observing,c5b87430-36e8-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1228,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,observing,b4562180-3673-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1229,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,observing,70b98c30-36bb-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1230,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,URGENT: ISIS leader Abu Bakr al-Baghdadi allegedly killed by US airstrikes,observing,2f82fcd0-3673-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1231,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,against,356f12d0-36c0-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1232,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,Iraqi social-media rumors claim IS leader slain,observing,95170f00-36be-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1233,ISIS leader Abu Bakr al-Baghdadi was killed by an U.S. airstrike,Photo of slain IS leader reported to be doctored,against,087de880-3753-11e4-ae63-d5574342724c,2a9cb710-3673-11e4-ae63-d5574342724c
1284,ISIS gave a Kurdish woman a meal and told her she had eaten her own son,Isis tells mother on rescue mission :you have just eaten your son,for,72f2a5a0-c11b-11e4-8747-5b024dd6dd6c,2be71600-c11b-11e4-8747-5b024dd6dd6c
1285,ISIS gave a Kurdish woman a meal and told her she had eaten her own son,ISIS militants trick mother into eating her kidnapped son,observing,bb1f7830-c125-11e4-8747-5b024dd6dd6c,2be71600-c11b-11e4-8747-5b024dd6dd6c
1286,ISIS gave a Kurdish woman a meal and told her she had eaten her own son,ISLAMIC STATE FED MURDERED MAN TO HIS OWN MOTHER,observing,666d89d0-c11b-11e4-8747-5b024dd6dd6c,2be71600-c11b-11e4-8747-5b024dd6dd6c
1287,ISIS gave a Kurdish woman a meal and told her she had eaten her own son,Isis fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him,observing,5040cfa0-c11b-11e4-8747-5b024dd6dd6c,2be71600-c11b-11e4-8747-5b024dd6dd6c
1288,ISIS gave a Kurdish woman a meal and told her she had eaten her own son,There is no limit to their depravity Islamic State FEED mother her own SON,for,59c0e8d0-c11b-11e4-8747-5b024dd6dd6c,2be71600-c11b-11e4-8747-5b024dd6dd6c
1289,ISIS gave a Kurdish woman a meal and told her she had eaten her own son,After ISIS trick mum into eating son - 5 other reluctant cannibals including those forced to eat own body parts,for,494fecd0-c11b-11e4-8747-5b024dd6dd6c,2be71600-c11b-11e4-8747-5b024dd6dd6c
1290,ISIS gave a Kurdish woman a meal and told her she had eaten her own son,ISIS: Desperate mum told you have just eaten your son after visiting militants base in search of kidnap victim,for,5dc29af0-c11b-11e4-8747-5b024dd6dd6c,2be71600-c11b-11e4-8747-5b024dd6dd6c
