,claimHeadline,articleHeadline,claimId,articleId,articleHeadlineStance
97,Amazon will open its first physical store in NY this year,Amazon Is Opening a Brick-and-Mortar Store in Manhattan,f802af50-4fe8-11e4-b6a0-9705a8f94440,66e7d080-4fe9-11e4-b6a0-9705a8f94440,observing
98,Amazon will open its first physical store in NY this year,Amazon to Open First Brick-and-Mortar Site,f802af50-4fe8-11e4-b6a0-9705a8f94440,fda47ce0-4fe8-11e4-b6a0-9705a8f94440,for
99,Amazon will open its first physical store in NY this year,Amazon is opening its first physical store,f802af50-4fe8-11e4-b6a0-9705a8f94440,d862ded0-4fe9-11e4-b6a0-9705a8f94440,for
100,Amazon will open its first physical store in NY this year,Amazon Is Going To Open A Physical Store,f802af50-4fe8-11e4-b6a0-9705a8f94440,6328f3c0-4fe9-11e4-b6a0-9705a8f94440,for
101,Amazon will open its first physical store in NY this year,Amazon.com to open first physical store in Manhattan: DJ,f802af50-4fe8-11e4-b6a0-9705a8f94440,ac0c0280-4fe9-11e4-b6a0-9705a8f94440,observing
102,Amazon will open its first physical store in NY this year,Amazon's first brick-and-mortar store said to open in Manhattan,f802af50-4fe8-11e4-b6a0-9705a8f94440,69dec960-4fe9-11e4-b6a0-9705a8f94440,observing
103,Amazon will open its first physical store in NY this year,Amazon is about to open its first-ever physical store in New York City,f802af50-4fe8-11e4-b6a0-9705a8f94440,fd11bd50-4fe9-11e4-b6a0-9705a8f94440,for
104,Amazon will open its first physical store in NY this year,"Amazon to launch first brick-and-mortar store, report says",f802af50-4fe8-11e4-b6a0-9705a8f94440,5e245090-4fe9-11e4-b6a0-9705a8f94440,observing
112,The Apple Watch will include an AMOLED panel from LG Display,Apple Watch to come with AMOLED panels from LG Display,94807ea0-c287-11e4-8747-5b024dd6dd6c,9f122ee0-c287-11e4-8747-5b024dd6dd6c,for
113,Apple will launch a 12 MacBook Air in 2015,Apple's next major Mac revealed: the radically new 12-inch MacBook Air,fd3dc340-969e-11e4-87a8-1d5d45e62193,04329db0-969f-11e4-87a8-1d5d45e62193,for
114,Apple will launch a 12 MacBook Air in 2015,Huge new leak reveals Apple's radically redesigned 12-inch MacBook Air,fd3dc340-969e-11e4-87a8-1d5d45e62193,72dead80-969f-11e4-87a8-1d5d45e62193,for
115,Apple will launch a 12 MacBook Air in 2015,A Radically Redesigned 12-Inch MacBook Air Is Coming,fd3dc340-969e-11e4-87a8-1d5d45e62193,6bbb4900-969f-11e4-87a8-1d5d45e62193,observing
116,Apple will launch a 12 MacBook Air in 2015,The Next MacBook Air Will Be A 12-Inch Beauty With An Edge-To-Edge Keyboard,fd3dc340-969e-11e4-87a8-1d5d45e62193,8b91c470-969f-11e4-87a8-1d5d45e62193,for
117,Apple will launch a 12 MacBook Air in 2015,"Apple's New MacBook Will Be A Thinner, Cleaner, Faster 12-Inch MacBook Air",fd3dc340-969e-11e4-87a8-1d5d45e62193,53950160-96a2-11e4-87a8-1d5d45e62193,for
118,Apple will launch a 12 MacBook Air in 2015,Apple may launch 12-inch MacBook Air with Retina Display,fd3dc340-969e-11e4-87a8-1d5d45e62193,333bdde0-96a1-11e4-87a8-1d5d45e62193,observing
119,Apple will launch a 12 MacBook Air in 2015,"Apple 12-Inch MacBook Air Details Emerge Device Could Be Thinner, Lighter Than Current Model",fd3dc340-969e-11e4-87a8-1d5d45e62193,5b709250-96a2-11e4-87a8-1d5d45e62193,for
120,Apple will launch a 12 MacBook Air in 2015,Apple's 12-Inch Retina MacBook Air Shown in Artist's Renditions,fd3dc340-969e-11e4-87a8-1d5d45e62193,488e9650-96a2-11e4-87a8-1d5d45e62193,observing
121,Apple will launch a 12 MacBook Air in 2015,Apple's next MacBook could be a 12-inch MacBook Air,fd3dc340-969e-11e4-87a8-1d5d45e62193,7bf92710-969f-11e4-87a8-1d5d45e62193,observing
122,Apple will launch a 12 MacBook Air in 2015,"12in Retina MacBook Air release date rumours: All-new 12in MacBook Air design for 2015, launching at WWDC?",fd3dc340-969e-11e4-87a8-1d5d45e62193,ae5f5fd0-969f-11e4-87a8-1d5d45e62193,observing
123,Apple will launch a 12 MacBook Air in 2015,"new 12-inch MacBook Air slims down, has single USB port",fd3dc340-969e-11e4-87a8-1d5d45e62193,6c845e00-96a2-11e4-87a8-1d5d45e62193,observing
124,Apple will launch a 12 MacBook Air in 2015,"Apple Reportedly Preparing 12-inch MacBook Air, Thinner and Lighter than Existing Models",fd3dc340-969e-11e4-87a8-1d5d45e62193,4f318030-96a2-11e4-87a8-1d5d45e62193,observing
125,Apple will launch a 12 MacBook Air in 2015,Apple working on 12-inch MacBook Air,fd3dc340-969e-11e4-87a8-1d5d45e62193,980490c0-969f-11e4-87a8-1d5d45e62193,observing
126,Apple will launch a 12 MacBook Air in 2015,"Is Apple about to launch a totally redesigned, 12-inch MacBook Air?",fd3dc340-969e-11e4-87a8-1d5d45e62193,a5593190-969f-11e4-87a8-1d5d45e62193,observing
127,"The larger Apple Watch Edition will cost 10,000","Why the Gold Apple Watch Edition Must Cost 10,000",855813e0-c366-11e4-9435-a96703525a9e,8bbbaad0-c366-11e4-9435-a96703525a9e,for
128,"The larger Apple Watch Edition will cost 10,000","Why the most expensive Apple Watch will probably cost around 10,000",855813e0-c366-11e4-9435-a96703525a9e,8f08e490-c367-11e4-9435-a96703525a9e,observing
129,"The larger Apple Watch Edition will cost 10,000","Gold Apple Watch Edition price? Speculators say at least 10,000",855813e0-c366-11e4-9435-a96703525a9e,a5527590-c367-11e4-9435-a96703525a9e,observing
130,"The larger Apple Watch Edition will cost 10,000","Would you pay 10,000 for the Apple Watch?",855813e0-c366-11e4-9435-a96703525a9e,9a069d10-c367-11e4-9435-a96703525a9e,observing
131,Apple will hold a special medialaunch event in February,"Don't cancel your ski plans, Apple's not having an event in Feb.",41fa3090-c282-11e4-8747-5b024dd6dd6c,fb500560-c282-11e4-8747-5b024dd6dd6c,against
132,Apple will hold a special medialaunch event in February,Rumor: Apple to hold event this month to unveil Retina MacBook Air finalize Apple Watch specs,41fa3090-c282-11e4-8747-5b024dd6dd6c,4767d950-c283-11e4-8747-5b024dd6dd6c,observing
133,Apple will hold a special medialaunch event in February,Apple's next big event reportedly set for late February,41fa3090-c282-11e4-8747-5b024dd6dd6c,4cf44a20-c283-11e4-8747-5b024dd6dd6c,observing
134,Apple will hold a special medialaunch event in February,Apple could make a Special Event in late February Update,41fa3090-c282-11e4-8747-5b024dd6dd6c,732c2f10-c282-11e4-8747-5b024dd6dd6c,observing
135,Apple will hold a special medialaunch event in February,"Apple Media Event Rumored for Late February, Apple Watch and 12 MacBook Air Likely Topics Updated",41fa3090-c282-11e4-8747-5b024dd6dd6c,409fb430-c283-11e4-8747-5b024dd6dd6c,observing
136,Apple will hold a special medialaunch event in February,Apple May Or May Not Hold An Event On The 24th Of February Rumor,41fa3090-c282-11e4-8747-5b024dd6dd6c,53a4c890-c283-11e4-8747-5b024dd6dd6c,observing
147,Apple is buying Path,Rumor: Apple in late-stage talks to buy Path social platform,6e378920-3914-11e4-ae63-d5574342724c,6efc4340-3915-11e4-ae63-d5574342724c,observing
148,Apple is buying Path,Apple May Buy Social Network Path,6e378920-3914-11e4-ae63-d5574342724c,f73aa670-3915-11e4-ae63-d5574342724c,observing
149,Apple is buying Path,Wednesday Apple Rumors: Apple May Be Ready to Buy Path,6e378920-3914-11e4-ae63-d5574342724c,b99a6300-3ad7-11e4-bc0b-3f922b93930d,observing
150,Apple is buying Path,Source: Apple set to acquire Path in an attempt to bolster iOS social cred,6e378920-3914-11e4-ae63-d5574342724c,734e06a0-3914-11e4-ae63-d5574342724c,observing
151,Apple is buying Path,"Morin goes back on transparency pledge, refuses to confirm or deny report that Apple is buying Path",6e378920-3914-11e4-ae63-d5574342724c,aa7f48c0-3a84-11e4-825a-ad6fdaf9d74f,observing
152,Apple is buying Path,Four Reasons Not To Give Up Hope If Apple Buys Path,6e378920-3914-11e4-ae63-d5574342724c,77067ac0-3914-11e4-ae63-d5574342724c,observing
153,Apple is buying Path,Apple reported to be near buying Path social network,6e378920-3914-11e4-ae63-d5574342724c,c25b77d0-39ac-11e4-ae63-d5574342724c,observing
154,Apple is buying Path,"Apple in late stages to acquire Path, report says",6e378920-3914-11e4-ae63-d5574342724c,c6268990-39ac-11e4-ae63-d5574342724c,observing
155,Apple is buying Path,"Here's What You Can Do On Path, The Social Network That Apple May Be About To Acquire",6e378920-3914-11e4-ae63-d5574342724c,6b12d410-3915-11e4-ae63-d5574342724c,observing
156,Apple is buying Path,"Apple Will Acquire Path, The Struggling Social Network",6e378920-3914-11e4-ae63-d5574342724c,6386c2b0-3915-11e4-ae63-d5574342724c,observing
157,Apple is buying Path,Apple could be eyeing purchase of social networking app Path,6e378920-3914-11e4-ae63-d5574342724c,1dd8f8e0-3916-11e4-ae63-d5574342724c,observing
158,Apple is buying Path,"Everything You Need To Know About Path, The Struggling Social Network In Apple's Sights",6e378920-3914-11e4-ae63-d5574342724c,b76d39d0-3916-11e4-ae63-d5574342724c,observing
159,Apple is buying Path,"Apple Reportedly Close to Acquiring Path, Looking to Integrate Service Into Messages",6e378920-3914-11e4-ae63-d5574342724c,725ab080-3915-11e4-ae63-d5574342724c,observing
160,Apple is buying Path,"Apple may buy Path, that social app you don't use",6e378920-3914-11e4-ae63-d5574342724c,fea2f6b0-3ad7-11e4-bc0b-3f922b93930d,observing
171,Apple will reveal a refreshed Apple TV at the March 9th Spring Forward Event,"Apple plans relaunched Beats streaming music service for WWDC, skipping March event Apple TV still coming",7fe62df0-c37c-11e4-9435-a96703525a9e,f1df2200-c380-11e4-9435-a96703525a9e,against
175,Apple Watch will only be sold in Apple Stores at launch,Apple Watch: Release well initially only in Apple Stores,6285fbc0-c352-11e4-8747-5b024dd6dd6c,d8eb2060-c352-11e4-8747-5b024dd6dd6c,for
176,Apple Watch will only be sold in Apple Stores at launch,"If you want an Apple Watch, you'll probably be trekking to an Apple Store",6285fbc0-c352-11e4-8747-5b024dd6dd6c,65d07660-c353-11e4-8747-5b024dd6dd6c,for
177,Apple Watch battery will only last 2.5 to 4 hours of active use,"Rumor: Apple shooting for 19 hours of Apple Watch battery life under normal conditions, 2.5 hours heavy use",e2373e10-c29e-11e4-8747-5b024dd6dd6c,c01afbe0-c29f-11e4-8747-5b024dd6dd6c,observing
178,Apple Watch battery will only last 2.5 to 4 hours of active use,The Apple Watch Will Only Last 2.5 Hours With Heavy Use,e2373e10-c29e-11e4-8747-5b024dd6dd6c,7db52690-c29f-11e4-8747-5b024dd6dd6c,observing
179,Apple Watch battery will only last 2.5 to 4 hours of active use,The Apple Watch's battery life will reportedly be just like any other smartwatch,e2373e10-c29e-11e4-8747-5b024dd6dd6c,3f491600-c411-11e4-88c9-eb158a06b9a5,observing
195,The Apple Watch will ship with a diagnostics port,"Apple Watch has a Lightning port for development, but won't when it ships",94f13db0-c43b-11e4-883c-a7fa7a3c5066,1f18d340-c43c-11e4-883c-a7fa7a3c5066,against
196,The Apple Watch will ship with a diagnostics port,Apple Watch reportedly features unannounced diagnostics port under strap connector,94f13db0-c43b-11e4-883c-a7fa7a3c5066,17b27250-c43c-11e4-883c-a7fa7a3c5066,observing
197,The Apple Watch will ship with a diagnostics port,Hidden Diagnostic Port on Apple Watch Could Allow for Smart Band Accessories Updated,94f13db0-c43b-11e4-883c-a7fa7a3c5066,1ae9cf90-c43c-11e4-883c-a7fa7a3c5066,for
198,The Digital Crown on the Apple Watch will come in different colors.,Apple Watch Digital Crown -- Could It Color Adjusted?,365b0910-c360-11e4-9435-a96703525a9e,c3e697e0-c365-11e4-9435-a96703525a9e,observing
199,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Report claims steel Apple Watch to start at 500, gold model between 4-5K",57da8d00-c215-11e4-8747-5b024dd6dd6c,1409c090-c216-11e4-8747-5b024dd6dd6c,observing
200,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Rumor: Gold Apple Watch Edition priced up to 5,000, steel version at 500, will debut on Feb. 14",57da8d00-c215-11e4-8747-5b024dd6dd6c,19ab18f0-c216-11e4-8747-5b024dd6dd6c,observing
201,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Rumor: Stainless Steel Apple Watch Will Cost 500, Gold 4,000",57da8d00-c215-11e4-8747-5b024dd6dd6c,f8345b00-c215-11e4-8747-5b024dd6dd6c,observing
202,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Apple Watch to start at 500 in stainless steel, thousands for gold model",57da8d00-c215-11e4-8747-5b024dd6dd6c,03936d60-c216-11e4-8747-5b024dd6dd6c,observing
203,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Apple Watch Stainless Steel variant reportedly priced at 500, 4,000 for the gold variant",57da8d00-c215-11e4-8747-5b024dd6dd6c,28d5b240-c216-11e4-8747-5b024dd6dd6c,observing
204,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Stainless steel Apple Watch could cost just 499, but gold will be 10 times as pricey",57da8d00-c215-11e4-8747-5b024dd6dd6c,23053390-c216-11e4-8747-5b024dd6dd6c,observing
205,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Info iGen: 500 for Apple Watch, February 14?",57da8d00-c215-11e4-8747-5b024dd6dd6c,b0e83ff0-c215-11e4-8747-5b024dd6dd6c,observing
206,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Apple Watch Pricing to Reportedly Start at 500 for Stainless Steel, 4,000 for Gold",57da8d00-c215-11e4-8747-5b024dd6dd6c,ff0d9720-c215-11e4-8747-5b024dd6dd6c,observing
207,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Stainless steel Apple Watch will be priced 500, gold at 5,000",57da8d00-c215-11e4-8747-5b024dd6dd6c,0efb3250-c216-11e4-8747-5b024dd6dd6c,observing
208,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Apple Watch pricing: Will you spend 5000 for Gold edition, 500 for stainless steel?",57da8d00-c215-11e4-8747-5b024dd6dd6c,0a44d630-c216-11e4-8747-5b024dd6dd6c,for
209,"The gold Apple Watch Edition will start at 4,999 USD","Piper Jaffray pegs stainless steel Apple Watch price at 499, Edition at 4,999",bd1e3340-c276-11e4-8747-5b024dd6dd6c,faf30ec0-c276-11e4-8747-5b024dd6dd6c,observing
210,"The gold Apple Watch Edition will start at 4,999 USD","High-end Apple Watch to start at 5,000 -- analyst",bd1e3340-c276-11e4-8747-5b024dd6dd6c,8becb590-c419-11e4-88c9-eb158a06b9a5,observing
211,"The gold Apple Watch Edition will start at 4,999 USD","Gene Munster Predicts 499 Steel Apple Watch, 4,999 for 18k Gold Edition",bd1e3340-c276-11e4-8747-5b024dd6dd6c,1f1bcd50-c277-11e4-8747-5b024dd6dd6c,observing
212,The Apple Watch will launch in February,"Chinese rumor suggests Apple Watch to launch in February, sapphire to blame for low supply",cead0e70-4aed-11e4-9960-a165dd517bbb,e490d8c0-4aed-11e4-9960-a165dd517bbb,observing
213,The Apple Watch will launch in February,New rumor backs up reports that the Apple Watch will launch in February,cead0e70-4aed-11e4-9960-a165dd517bbb,d3bbc3c0-4aed-11e4-9960-a165dd517bbb,observing
214,The Apple Watch will launch in February,New Rumour Suggests Apple Watch to Launch in February,cead0e70-4aed-11e4-9960-a165dd517bbb,8f9c44a0-54be-11e4-b6a0-9705a8f94440,observing
215,The Apple Watch will launch in February,Are Rumors of the Apple Watch in Feb True?,cead0e70-4aed-11e4-9960-a165dd517bbb,ec3246e0-4aed-11e4-9960-a165dd517bbb,observing
216,The Apple Watch will launch in February,Apple Watch launch has new timetable: Analyst,cead0e70-4aed-11e4-9960-a165dd517bbb,e4c3c150-4f5b-11e4-949b-f14041b20838,observing
217,The Apple Watch will launch in February,Apple Watch launch reportedly planned for February with limited supply,cead0e70-4aed-11e4-9960-a165dd517bbb,eebc0230-4af1-11e4-9960-a165dd517bbb,observing
