claimH1,stances1,claimCount1,claimH2,stances2,claimCount2,claimH3,stances3,claimCount3
The Apple Watch only receives notifications when on the wrist,(1) www.macrumors.com: For For For For For<br/><br/>,31.0,Apple is considering the release of a platinum edition of the Apple Watch,(1) 9to5mac.com: For For Observing Observing Observing<br/><br/>(2) appleinsider.com: For For For Observing Observing<br/><br/>(3) www.bgr.in: For For For Observing Observing<br/><br/>(4) www.macrumors.com: For For For For Observing<br/><br/>(5) www.theverge.com: For For Observing Observing Observing<br/><br/>,32.0,The Apple Watch will include a feature called Power Reserve,(1) 9to5mac.com: Against Against For For For<br/><br/>(2) appleinsider.com: For For Observing Observing Observing<br/><br/>(3) mashable.com: For For Observing Observing Observing<br/><br/>(4) www.engadget.com: Against For For For For<br/><br/>(5) www.macrumors.com: For For For For Observing<br/><br/>(6) www.slashgear.com: Against For For For For<br/><br/>(7) www.theverge.com: For For Observing Observing Observing<br/><br/>,33.0
The Apple Store will have custom-designed safes to store the gold Apple Watch,(1) bgr.com: For For For For Observing<br/><br/>(2) mobilesyrup.com: Against For For For For<br/><br/>(3) www.businessinsider.com: For For For For For<br/><br/>(4) www.digitaltrends.com: For For For For Observing<br/><br/>(5) www.fastcompany.com: For For For For For<br/><br/>(6) www.ibtimes.co.uk: For For For For Observing<br/><br/>(7) www.independent.co.uk: For For For For For<br/><br/>(8) www.mactrast.com: For For For For Observing<br/><br/>(9) www.redmondpie.com: For For For For Observing<br/><br/>(10) www.slashgear.com: For For Observing Observing Observing<br/><br/>(11) www.techtimes.com: For For For For Observing<br/><br/>(12) www.telegraph.co.uk: For For For Observing nan<br/><br/>(13) www.ubergizmo.com: For For For For For<br/><br/>,34.0,The Apple Watch will ship for Valentine's Day,(1) 9to5mac.com: For Observing Observing Observing Observing<br/><br/>(2) au.ibtimes.com: For For For For For<br/><br/>(3) bgr.com: For For For For Observing<br/><br/>(4) www.designntrend.com: For For For Observing Observing<br/><br/>(5) www.ubergizmo.com: For For Observing Observing Observing<br/><br/>,35.0,The Apple Watch will ship in March,(1) appleinsider.com: For For For For For<br/><br/>(2) ca.ign.com: Against For For Observing Observing<br/><br/>(3) www.businessinsider.com: For For For For Observing<br/><br/>(4) www.ibtimes.co.uk: For For For For For<br/><br/>(5) www.macrumors.com: For For For For Observing<br/><br/>(6) www.pcworld.com: For For For Observing Observing<br/><br/>(7) www.slashgear.com: For For For For For<br/><br/>(8) www.techtimes.com: For For For Observing Observing<br/><br/>(9) www.ubergizmo.com: For For For For For<br/><br/>,36.0
Apple removed from Apple Watch a skin-conductivity sensor that would give a more accurate heart rate,(1) 9to5mac.com: Against For For Observing Observing<br/><br/>(2) appleinsider.com: For For For Observing Observing<br/><br/>(3) www.businessinsider.com: Against Against For Observing Observing<br/><br/>(4) www.cnet.com: For For For Observing Observing<br/><br/>(5) www.cultofmac.com: Against For For For For<br/><br/>(6) www.engadget.com: Against For For For For<br/><br/>(7) www.macrumors.com: For For For Observing Observing<br/><br/>(8) www.wsj.com: For Observing Observing Observing Observing<br/><br/>,37.0,Apple have different Watch bands for sale at launch,(1) 9to5mac.com: For For For For Observing<br/><br/>,38.0,The Apple Watch takes about two hours to charge,(1) www.macrumors.com: For For For For Observing<br/><br/>,39.0
The president of Argentina became the adopted godmother of a boy to help stop him from becoming a werewolf,(1) factually.gizmodo.com: Against Against Against Against Observing<br/><br/>(2) forward.com: For For For For For<br/><br/>(3) jezebel.com: For For For For Observing<br/><br/>(4) metro.co.uk: For For For Observing Observing<br/><br/>(5) mic.com: Against For For For Observing<br/><br/>(6) perezhilton.com: For For Observing Observing Observing<br/><br/>(7) uproxx.com: Against For For For Observing<br/><br/>(8) www.businessinsider.com: For For Observing Observing Observing<br/><br/>(9) www.buzzfeed.com: For For For For Observing<br/><br/>(10) www.cbsnews.com: For For For Observing Observing<br/><br/>(11) www.cnbc.com: For For For For Observing<br/><br/>(12) www.cosmopolitan.com: For For For For For<br/><br/>(13) www.haaretz.com: Against Against For For Observing<br/><br/>(14) www.huffingtonpost.com: For For For Observing Observing<br/><br/>(15) www.huffingtonpost.co.uk: Against For For For Observing<br/><br/>(16) www.ibtimes.co.uk: Against For For For For<br/><br/>(17) www.independent.co.uk: Against For For For Observing<br/><br/>(18) www.jta.org: Against Against For For For<br/><br/>(19) www.latintimes.com: Against Against Against Observing Observing<br/><br/>(20) www.nbcnews.com: Against For For For Observing<br/><br/>(21) www.npr.org: Against Against Against For Observing<br/><br/>(22) www.nydailynews.com: For For For For Observing<br/><br/>(23) www.people.com: For For For For Observing<br/><br/>(24) www.smithsonianmag.com: Against Against For Observing Observing<br/><br/>(25) www.telegraph.co.uk: For For For For For<br/><br/>(26) www.theguardian.com: Against Against Against Against Observing<br/><br/>(27) www.upi.com: For For For For For<br/><br/>(28) www.vice.com: Against For For For Observing<br/><br/>(29) www.washingtonpost.com: Observing Observing Observing Observing Observing<br/><br/>,40.0,Teacher had sex with 16-year-old,(1) metro.co.uk: Against Against For For For<br/><br/>(2) www.buzzfeed.com: Against Against Against For Observing<br/><br/>(3) www.dailymail.co.uk: Against Against Against Observing Observing<br/><br/>(4) www.dailystar.co.uk: For For For For Observing<br/><br/>(5) www.mirror.co.uk: Against Against Against For Observing<br/><br/>(6) www.mirror.co.uk: For For For For Observing<br/><br/>(7) www.nydailynews.com: Against Against For For Observing<br/><br/>,41.0,Anonymous street artist Banksy was arrested,(1) i100.independent.co.uk: Against Against Against Against Against<br/><br/>(2) nationalreport.net: Against For For For For<br/><br/>(3) uproxx.com: Against Against Against For Observing<br/><br/>(4) www.artfido.com: Against For Observing Observing Observing<br/><br/>(5) www.buzzfeed.com: Against Against Against Against Observing<br/><br/>(6) www.dailystar.co.uk: Against Against Against Against For<br/><br/>(7) www.digitallook.com: Against Against Against Against Observing<br/><br/>(8) www.huffingtonpost.com: Against Against Against For For<br/><br/>(9) www.huffingtonpost.co.uk: Against Against For For For<br/><br/>(10) www.ibtimes.co.uk: Against For For For Observing<br/><br/>(11) www.independent.co.uk: Against Against Against For For<br/><br/>(12) www.london24.com: Against Against Against Against For<br/><br/>(13) www.mirror.co.uk: Against Against Against For For<br/><br/>(14) www.telegraph.co.uk: Against Against Against For For<br/><br/>,42.0
Artist Banksy drew a cartoon about the Charlie Hebdo murders,(1) factually.gizmodo.com: Against Against Against Against Against<br/><br/>(2) mashable.com: Against Against For For Observing<br/><br/>(3) www.businessinsider.com: Against Against Against Against Observing<br/><br/>(4) www.bustle.com: Against Against Against Against Against<br/><br/>(5) www.buzzfeed.com: Against Against Against Against Against<br/><br/>(6) www.huffingtonpost.ca: Against Against Against Observing Observing<br/><br/>(7) www.independent.co.uk: Against Against Against Against For<br/><br/>(8) www.snopes.com: Against For For Observing Observing<br/><br/>(9) www.telegraph.co.uk: Against Against Against Against Against<br/><br/>,43.0,Abdel-Majed Abdel Bary beheaded James Wright Foley,(1) nation.foxnews.com: For For For For Observing<br/><br/>(2) nymag.com: For For For For Observing<br/><br/>(3) nypost.com: For For For For Observing<br/><br/>(4) www.billboard.com: For For For For For<br/><br/>(5) www.dailymail.co.uk: For For For For Observing<br/><br/>(6) www.examiner.com: For For For For For<br/><br/>(7) www.foxnews.com: For For For Observing Observing<br/><br/>(8) www.haaretz.com: Against For For Observing Observing<br/><br/>(9) www.independent.co.uk: Against For For For Observing<br/><br/>(10) www.inquisitr.com: For For For For Observing<br/><br/>(11) www.news.com.au: For For For Observing Observing<br/><br/>(12) www.newsmax.com: For For For For For<br/><br/>(13) www.nydailynews.com: Against For For For For<br/><br/>(14) www.smh.com.au: For For For Observing Observing<br/><br/>(15) www.stuff.co.nz: For For For For Observing<br/><br/>(16) www.theepochtimes.com: For For Observing Observing Observing<br/><br/>(17) www.thegatewaypundit.com: Against Against Against Against Observing<br/><br/>(18) www.timesofisrael.com: Against Against For For Observing<br/><br/>,44.0,The Batmobile was stolen,(1) capedcrusades.com: For For Observing Observing Observing<br/><br/>(2) capedcrusades.com: Against Against For Observing Observing<br/><br/>(3) comicbook.com: For Observing Observing Observing Observing<br/><br/>(4) comicbook.com: Against Against Against For Observing<br/><br/>(5) detroit.cbslocal.com: Observing Observing Observing Observing Observing<br/><br/>(6) jalopnik.com: Against Against For Observing Observing<br/><br/>(7) movies.cosmicbooknews.com: For For For For For<br/><br/>(8) nukethefridge.com: Against For For For For For Observing<br/><br/>(9) screenrant.com: Against Against For Observing Observing Observing Observing<br/><br/>(10) www.bleedingcool.com: For Observing Observing Observing Observing Observing Observing<br/><br/>(11) www.comicbookmovie.com: For For For Observing Observing Observing nan<br/><br/>(12) www.dailymail.co.uk: Against Against For Observing Observing Observing Observing<br/><br/>(13) www.deadlinedetroit.com: Against Against Against Against Against Against Against For For<br/><br/>(14) www.freep.com: Against Against Against Against For For For Observing Observing<br/><br/>(15) www.kpopstarz.com: For For For Observing Observing Observing Observing Observing Observing<br/><br/>(16) www.movieviral.com: Against Against For For For Observing Observing Observing Observing<br/><br/>(17) www.slashfilm.com: Against Against Against Against For For For Observing Observing<br/><br/>(18) www.supermansupersite.com: Against Against Against Against Against Against For For Observing<br/><br/>(19) www.theouthousers.com: Against For For For For For For Observing Observing<br/><br/>(20) www.theouthousers.com: Against Against Against Against Against Against Against For Observing<br/><br/>(21) www.torontosun.com: Against Against Against Against Against Against Against For For<br/><br/>(22) www.worstpreviews.com: For For For For For For For Observing Observing<br/><br/>,45.0
Apple will shutdown Beats Music,(1) 9to5mac.com: For For For For For For Observing Observing Observing<br/><br/>(2) appleinsider.com: For For For For For For Observing Observing Observing<br/><br/>(3) gizmodo.com: For For For For For For For Observing Observing<br/><br/>(4) heavy.com: Against Against For For For For For For Observing<br/><br/>(5) recode.net: Against For For For For For For Observing Observing<br/><br/>(6) www.yahoo.com: For For For For For For<br/><br/>(7) techcrunch.com: For For For For For For<br/><br/>(8) valleywag.gawker.com: For For For For Observing Observing<br/><br/>(9) variety.com: Against For For For Observing Observing<br/><br/>(10) www.businessinsider.com: Against Against Against Against Against Against<br/><br/>(11) www.cnbc.com: Against For For For For For Observing Observing Observing<br/><br/>(12) www.macrumors.com: Against Against Against Against Against Against Against For Observing<br/><br/>(13) www.theverge.com: Against For For For For For Observing Observing Observing<br/><br/>(14) www.usatoday.com: Against Against Against Against Against Against Against Against Observing<br/><br/>,46.0,Harvard professor Ben Edelman sent an email with racist overtones to a restaurant that he'd argued with over food pricing,(1) dankennedy.net: Against Against Against Against Against Against For For For<br/><br/>(2) www.barstoolsports.com: Against For Observing Observing Observing Observing Observing Observing<br/><br/>(3) www.bostonherald.com: Against Against For For For Observing Observing Observing<br/><br/>,47.0,The Washington Post is developing a new app that will be pre-installed on the new Kindle Fire,(1) techcrunch.com: Against For For For For For Observing Observing<br/><br/>(2) www.businessinsider.com: Against For For For For For For For<br/><br/>,48.0
A man was saved from a bear attack thanks to a Justin Bieber ringtone,(1) austriantimes.at: Against For For For For For For Observing<br/><br/>(2) dailycaller.com: Against For For For For For For For Observing<br/><br/>(3) gawker.com: Against Against For For For For For Observing Observing<br/><br/>(4) jezebel.com: Against Against Against For For For For For Observing<br/><br/>(5) nypost.com: Against Against Against For For For For For For<br/><br/>(6) theweek.com: Against For For For For For For For For<br/><br/>(7) www.abc15.com: For For For For For For For For For<br/><br/>(8) www.azcentral.com: For For For For For For For For For<br/><br/>(9) www.buzzfeed.com: For For For For For For Observing Observing Observing<br/><br/>(10) www.complexmag.ca: Against For For For For For For For For<br/><br/>(11) www.dailymail.co.uk: Against For For For For For For For Observing<br/><br/>(12) www.express.co.uk: For For For For For For For For Observing<br/><br/>(13) www.mediaite.com: Against For For For For For For For Observing<br/><br/>(14) www.mirror.co.uk: For For For For For For For Observing Observing<br/><br/>(15) www.mtv.com: Against For For For For For For Observing Observing<br/><br/>(16) www.news.com.au: Against For For For For For For For Observing<br/><br/>(17) www.npr.org: For For For For For For For For Observing<br/><br/>(18) www.nydailynews.com: For For For For For For For For Observing<br/><br/>(19) www.poynter.org: Against For For For For For Observing Observing Observing<br/><br/>(20) www.smh.com.au: For For For For For For For For Observing<br/><br/>(21) www.theweathernetwork.com: For For For For For For For For Observing<br/><br/>(22) www.timeslive.co.za: Against Against For For For For For For For<br/><br/>,49.0,Big Bank Hank of the Sugarhill Gang is dead,(1) edition.cnn.com: Against For For For For For For For For<br/><br/>(2) time.com: Against For For For For For For For For<br/><br/>(3) www.bbc.com: Against For For For For For For For For<br/><br/>(4) www.dailymail.co.uk: For For For For For For For For Observing<br/><br/>(5) www.foxnews.com: Against Against For For For For For For For<br/><br/>(6) www.huffingtonpost.com: Against Against For For For For For For Observing<br/><br/>(7) www.latimes.com: Against For For For For For For For For<br/><br/>(8) www.mirror.co.uk: Against For For For For For For For Observing<br/><br/>(9) www.nydailynews.com: Against For For For For For For For Observing<br/><br/>(10) www.theguardian.com: For For For For For For For For For<br/><br/>(11) www.tmz.com: For For For For For For For For For<br/><br/>(12) www.torontosun.com: For For For For For For For For For<br/><br/>(13) www.usatoday.com: For For For For For For For For For<br/><br/>(14) www.washingtonpost.com: For For For For For For For For For<br/><br/>,50.0,A video of bigfoot was shot in southwestern Russia,(1) mysteriousuniverse.org: For For For For For For For For Observing<br/><br/>(2) www.dailymail.co.uk: For For For For Observing Observing Observing Observing Observing<br/><br/>(3) www.huffingtonpost.com: For For For For For Observing Observing Observing Observing<br/><br/>(4) www.inquisitr.com: Against For For Observing Observing Observing Observing Observing Observing<br/><br/>(5) www.mirror.co.uk: Against For For For For Observing Observing Observing Observing<br/><br/>,51.0
A bird pooped on Vladimir Putin during a speech,(1) knowmore.washingtonpost.com: Against Against Against Against For Observing Observing Observing Observing<br/><br/>(2) theweek.com: Against Against Against Against Against Against Against For For<br/><br/>(3) time.com: For For For For For For For Observing Observing<br/><br/>(4) www.businessinsider.com: Against Against Against Against For For For For Observing<br/><br/>(5) www.independent.co.uk: Against Against Against Against Against Against Against For For<br/><br/>(6) www.theepochtimes.com: Against Against Against Against Against Against Against For<br/><br/>(7) www.thewire.com: Against Against For For For Observing Observing Observing<br/><br/>(8) www.vox.com: Against Against Against Against Against For For Observing<br/><br/>(9) www.washingtonpost.com: Against Against Against For For For Observing Observing<br/><br/>,52.0,A federal judge ruled that black women do not have independent naming rights for their children,(1) the-peoplesnews.com: Against For For For For For For Observing<br/><br/>,53.0,There was a terrorist plot to target Black Friday shopppers,(1) nationalreport.net: Against For For For For For For Observing Observing<br/><br/>,54.0
Seven underage Bosnian girls got pregnant on a school trip,(1) inserbia.info: Against For For For For For For Observing Observing<br/><br/>(2) metro.co.uk: For For For For For For For For For<br/><br/>(3) nypost.com: For For For For For For For For Observing<br/><br/>(4) pjmedia.com: Against Against For For Observing Observing Observing Observing Observing<br/><br/>(5) www.bild.de: Against Against Against Observing Observing Observing<br/><br/>(6) www.cosmopolitan.co.uk: For For For For For For<br/><br/>(7) www.couriermail.com.au: For For For For For Observing<br/><br/>(8) www.dailymail.co.uk: For For For For For Observing<br/><br/>(9) www.hngn.com: For For For For For For<br/><br/>(10) www.ibtimes.co.uk: For For For For For For For Observing<br/><br/>(11) www.inquisitr.com: For For For For For For For Observing<br/><br/>(12) www.news.com.au: For For For For For For For Observing<br/><br/>(13) www.nydailynews.com: For For For For For For For Observing<br/><br/>(14) www.wnd.com: For For For For For For For Observing<br/><br/>,55.0,Boston marathon bombing suspect Dzhokhar Tsarnaev was severely beaten in prison,(1) empirenews.net: Against For For Observing Observing<br/><br/>(2) www.inquisitr.com: Against Against For Observing Observing<br/><br/>,56.0,Tom Brokaw wants Brian Williams fired,(1) gawker.com: For For For Observing Observing<br/><br/>(2) pagesix.com: For For For For For<br/><br/>(3) www.dailymail.co.uk: For Observing Observing Observing Observing<br/><br/>(4) www.foxnews.com: For For For Observing Observing<br/><br/>(5) www.ibtimes.com: For For For Observing Observing<br/><br/>(6) www.theblaze.com: For For For For For<br/><br/>,57.0
A DNA test proved that Bruno Mars is Michael Jackson's son,(1) empirenews.net: For For For For For<br/><br/>(2) www.hoax-slayer.com: Against Against Against Observing Observing<br/><br/>(3) www.inquisitr.com: Against Against Against Against Against<br/><br/>,58.0,A woman broke up with her cheating boyfriend by printing out and wrapping his incriminating Twitter direct messages,(1) gawker.com: For For For For For<br/><br/>(2) uproxx.com: For For For For For<br/><br/>,59.0,Spurned wife leaves cheating husband and her twin naked in busy car park,(1) nypost.com: Against For For For For<br/><br/>(2) metro.co.uk: For For For For Observing<br/><br/>(3) www.huffingtonpost.co.uk: For For For For Observing<br/><br/>(4) www.mirror.co.uk: For For For For Observing<br/><br/>,60.0
